step,phase,timestamp,x,y,z,vx,vy,vz,wx,wy,wz,m1,m2,m3,m4,throttle,yaw,roll,pitch
0,thrust,[1.8399986],1037.449,-0.0043603852,971.204,-2.1812025e-07,-1.834333e-05,-1.02765625e-07,-1.8389262e-06,2.6000528e-06,2.527112e-07,0.0,0.0,0.0,0.0,1200,1024,1024,1024
1,thrust,[1.8599986],1037.449,-0.0043607503,971.204,-1.3373665e-08,-1.8328428e-05,-1.077073e-08,-1.4450167e-07,1.3580127e-07,2.5328944e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
2,thrust,[1.8799986],1037.449,-0.0043611154,971.204,-1.3232138e-08,-1.8335879e-05,-1.2675689e-08,-1.7518394e-07,1.2720157e-07,2.6633826e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
3,thrust,[1.8999985],1037.449,-0.004360758,971.204,2.2032236e-07,-1.8335879e-05,-2.7370334e-08,5.955816e-07,-2.9383805e-06,-5.444944e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
4,thrust,[1.9199985],1037.449,-0.004360322,971.204,-2.2074278e-07,-1.834333e-05,-1.03684215e-07,-1.8488361e-06,2.647037e-06,2.5406976e-07,0.0,0.0,0.0,0.0,1200,1024,1024,1024
5,thrust,[1.9399985],1037.449,-0.004360687,971.204,-1.3661884e-08,-1.8335879e-05,-1.4037552e-08,-2.1006694e-07,1.4170952e-07,2.5288406e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
6,thrust,[1.9599985],1037.449,-0.004361052,971.204,-1.4466961e-08,-1.8335879e-05,-1.1573895e-08,-1.4812895e-07,1.6153626e-07,2.625874e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
7,thrust,[1.9799985],1037.449,-0.0043606944,971.204,4.673315e-06,-5.222857e-06,1.2303127e-05,0.00011623505,-5.115307e-05,-1.7361326e-05,0.0,0.0,0.0,0.0,1200,1024,1024,1024
8,thrust,[1.9999985],1037.449,-0.0043602586,971.204,-2.1661319e-07,-1.835078e-05,-1.08319e-07,-1.8795115e-06,2.5798727e-06,2.594366e-07,0.0,0.0,0.0,0.0,1200,1024,1024,1024
9,thrust,[2.0199986],1037.449,-0.0043606237,971.204,-1.2833783e-08,-1.834333e-05,-1.2081176e-08,-1.800703e-07,1.2132838e-07,2.4797409e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
10,thrust,[2.0399985],1037.449,-0.0043609887,971.204,-1.0645704e-08,-1.8335879e-05,-1.4136218e-08,-1.9928629e-07,7.9433875e-08,2.666471e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
11,thrust,[2.0599985],1037.449,-0.004360631,971.204,4.6776336e-06,-5.222857e-06,1.2301863e-05,0.000116210096,-5.123834e-05,-1.7361388e-05,0.0,0.0,0.0,0.0,1200,1024,1024,1024
12,thrust,[2.0799985],1037.449,-0.0043601952,971.204,-7.5694925e-07,-1.078099e-05,-1.6130763e-05,-0.00022941321,-3.2997177e-05,1.424214e-05,0.0,0.0,0.0,0.0,1200,1024,1024,1024
13,thrust,[2.0999985],1037.449,-0.0043605603,971.204,-1.995916e-08,-1.8328428e-05,-8.8394145e-09,-1.6239287e-07,2.3834923e-07,2.2398874e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
14,thrust,[2.1199985],1037.449,-0.0043609254,971.204,-1.0914814e-08,-1.8335879e-05,-1.5834551e-08,-2.6378342e-07,8.902821e-08,2.328523e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
15,thrust,[2.1399984],1037.449,-0.004360568,971.204,4.6754617e-06,-5.222857e-06,1.2301985e-05,0.00011620981,-5.120306e-05,-1.7360926e-05,0.0,0.0,0.0,0.0,1200,1024,1024,1024
16,thrust,[2.1599984],1037.449,-0.004360132,971.204,-7.602953e-07,-1.078099e-05,-1.612855e-05,-0.00022936912,-3.2932356e-05,1.4242485e-05,0.0,0.0,0.0,0.0,1200,1024,1024,1024
17,thrust,[2.1799984],1037.449,-0.004360497,971.204,-1.7934823e-08,-1.8335879e-05,-9.272753e-09,-1.6046903e-07,2.0261155e-07,2.289651e-08,0.0,0.0,0.0,0.0,1200,1024,1024,1024
