episode,reward,reward_ma
0,-36.83701354637742,-36.83701354637742
1,-21.55444921553135,-29.195731380954385
2,-27.560955736320466,-28.65080616607641
3,-34.53982375562191,-30.123060563462786
4,-53.90458328835666,-34.87936510844156
5,-30.642859138548374,-34.17328078012603
6,-35.213359787128866,-34.32186349541215
7,-28.74927332252264,-33.62528972380096
8,-38.46680110320449,-34.16323543262357
9,-73.90327691938728,-38.137239581299944
10,-33.16476618871093,-37.68519654561003
11,-45.10030760709196,-38.30312246740019
12,-20.966443680226803,-36.96953179146378
13,-23.16512707620859,-35.98350288323127
14,-19.14950568974018,-34.861236403665195
15,-61.10089326277375,-36.50121495735948
16,-28.67448620684445,-36.040819148505655
17,-26.63435608148575,-35.51823786700455
18,-41.538308437913656,-35.83508368652608
19,-32.507268860936165,-35.66869294524658
20,-38.771595142781734,-35.816450192748256
21,-34.6430331915617,-35.76311305633069
22,-30.54115917533636,-35.53607158324398
23,-38.12503796070814,-35.64394518230498
24,-20.768368166405708,-35.048922101669014
25,-20.512221168726683,-34.48981821963277
26,-21.361407458782196,-34.00358078404571
27,-38.18135090172291,-34.15278685967704
28,-34.07749608159065,-34.150190625949925
29,-49.60929124150425,-34.66549397980173
30,-100.20453923940659,-36.77965673011157
31,-62.01438707392663,-37.56824205335579
32,-38.080046720802784,-37.58375128570267
33,-22.04806289821863,-37.12681927430608
34,-47.152788024395704,-37.41327552430864
35,-33.36051530763507,-37.30069885162326
36,-32.53018191456795,-37.17176596143258
37,-25.58719709701836,-36.86690888605326
38,-31.75895331799984,-36.73593566635958
39,-21.77982186898589,-36.36203282142524
40,-35.052796714007854,-36.330100233439445
41,-33.84204378724098,-36.27086079424424
42,-20.4251713976264,-35.90235638967174
43,-31.324531070888042,-35.79831490515392
44,-255.67479822877795,-40.684458979012234
45,-25.78379414975643,-40.36053148272407
46,-32.442529544234276,-40.19206335637322
47,-56.169701975770295,-40.52493082761066
48,-56.500177448266186,-40.85095626884853
49,-44.314540416002274,-40.9202279517916
50,-36.13751797936857,-40.826449324881345
51,-30.06019426882267,-40.61940595841868
52,-51.81546336784959,-40.83065232463436
53,-50.13587341085076,-41.00297123363836
54,-47.26199811697006,-41.116771722426215
55,-36.212733402848244,-41.02919960957661
56,-28.10713639855385,-40.80249674622533
57,-78.65170152811334,-41.45506924246478
58,-36.37399723113049,-41.368949377865896
59,-40.15650591626763,-41.34874198683926
60,-33.94923760276288,-41.227438636280624
61,-19.483706684666686,-40.87673328222234
62,-68.27052790671587,-41.31155541911906
63,-28.666698049753904,-41.11397952272273
64,-41.24367281422019,-41.11597480413038
65,-19.546136662364006,-40.78915907470968
66,-25.08762262389064,-40.554807784398946
67,-34.84979632124305,-40.4709105569996
68,-27.000780444592237,-40.27569128000819
69,-22.057013150304556,-40.01542444958385
70,-41.2171330973506,-40.03234992349606
71,-34.629630260169506,-39.9573121503943
72,-33.72716475278139,-39.87196766549549
73,-39.57869263365865,-39.86800448938959
74,-80.22077905386686,-40.40604148358262
75,-31.98325279355049,-40.29521531660851
76,-36.47382974252105,-40.245586932529456
77,-52.06141761317849,-40.397071941255724
78,-23.097843036055565,-40.17809436017724
79,-43.55504922196269,-40.220306295949555
80,-40.01721170544624,-40.21779895532606
81,-54.913202214986086,-40.39701119019996
82,-23.17531229555607,-40.18952084207172
83,-26.46627762913704,-40.026148899060594
84,-16.231830216944218,-39.74621573809452
85,-26.253503369167447,-39.58932373380467
86,-37.48468146473169,-39.56513244335556
87,-37.93176208436489,-39.546571416548844
88,-35.714497117325664,-39.50351440195083
89,-76.16661358624697,-39.91088217066523
90,-75.49653790518641,-40.30193333258305
91,-49.18379921745509,-40.398475353070786
92,-74.16448152065277,-40.76155068820608
93,-34.98292930983007,-40.70007599269144
94,-86.7487626709044,-41.18479901035684
95,-34.437251806259155,-41.114512060314155
96,-24.976415373384953,-40.94813992952107
97,-68.25121892802417,-41.226742776444574
98,-77.4702745070681,-41.59283905655188
99,-30.87317617982626,-41.485642427784626
100,-28.624781418591738,-41.40352010650677
101,-63.18705468066037,-41.819846161158054
102,-50.13928037881851,-42.045629407583036
103,-22.782028377056122,-41.92805145379738
104,-25.81323302537203,-41.64713795116754
105,-28.45792745053768,-41.62528863428743
106,-33.52745109796524,-41.60842954739579
107,-36.04595797043294,-41.68139639387489
108,-66.18596458435059,-41.95858802868636
109,-52.302914533764124,-41.742584404830126
110,-29.57566326111555,-41.70669337555417
111,-97.9587224193383,-42.23527752367663
112,-29.786038495600224,-42.32347347183037
113,-31.527859397232533,-42.407100795040606
114,-39.14912114292383,-42.607096949572444
115,-19.32603196799755,-42.18934833662468
116,-22.80596174299717,-42.13066309198621
117,-31.859021770302206,-42.18290974887437
118,-32.59083637595177,-42.09343502825475
119,-24.41983936727047,-42.0125607333181
120,-29.142507024109364,-41.91626985213137
121,-61.08857684209943,-42.18072528863675
122,-35.701712276786566,-42.23233081965125
123,-32.167062781751156,-42.17275106786168
124,-56.123622654005885,-42.526303612737685
125,-34.503699354827404,-42.666218394598694
126,-64.70932454243302,-43.0996975654352
127,-42.123713567852974,-43.139121192096496
128,-70.74398944526911,-43.50578612573329
129,-60.66885267198086,-43.61638174003805
130,-39.31907709687948,-43.00752711861278
131,-28.87203554669395,-42.67610360334045
132,-30.471590753644705,-42.60001904366887
133,-23.724580705165863,-42.61678422173834
134,-18.544735533185303,-42.33070369682624
135,-55.1224018111825,-42.54832256186172
136,-23.83067423850298,-42.461327485101066
137,-28.709743428975344,-42.49255294842064
138,-75.96639082953334,-42.93462732353597
139,-84.35801724344492,-43.56040927728056
140,-28.377007264643908,-43.49365138278692
141,-38.944395646452904,-43.54467490137904
142,-39.46694836765528,-43.73509267107933
143,-26.19862823933363,-43.68383364276379
144,-22.67422066628933,-41.3538278671389
145,-35.594388231635094,-41.45193380795769
146,-18.074757024645805,-41.3082560827618
147,-40.12352231564,-41.1477942861605
148,-86.78211699426174,-41.45061368162045
149,-56.31460416316986,-41.57061431909213
150,-75.1985226944089,-41.96122436624253
151,-35.4250181093812,-42.01487260464812
152,-49.030224062502384,-41.98702021159465
153,-35.91127747297287,-41.84477425221586
154,-35.719762647524476,-41.72935189752141
155,-98.76320543885231,-42.35485661788145
156,-46.4542544670403,-42.538327798566314
157,-34.735565677285194,-42.099166440058035
158,-39.57568793086648,-42.13118334705539
159,-114.1911664493382,-42.8715299523861
160,-35.5045779729262,-42.887083356087736
161,-46.23479540646076,-43.154594243305674
162,-35.25275179743767,-42.82441648221289
163,-35.81514348089695,-42.89590093652432
164,-37.76430490240455,-42.86110725740617
165,-27.25101286638528,-42.93815601944638
166,-19.845115661621094,-42.88573094982368
167,-36.322504967451096,-42.90045803628576
168,-26.46353407856077,-42.89508557262545
169,-23.40755009278655,-42.90859094205027
170,-22.94164438545704,-42.725836054931335
171,-16.371436804533005,-42.54325412037497
172,-42.62542485073209,-42.632236721354474
173,-25.041562773287296,-42.48686542275076
174,-23.005935644730926,-41.9147169886594
175,-16.042395181953907,-41.755308412543435
176,-42.34320852160454,-41.81400220033427
177,-41.24388476088643,-41.705826871811354
178,-27.539875525981188,-41.7502471967106
179,-33.56577215343714,-41.65035442602535
180,-35.517746195197105,-41.60535977092286
181,-37.906463243067265,-41.43529238120367
182,-46.635077722370625,-41.669890035471816
183,-63.0295817181468,-42.03552307636191
184,-35.17464695870876,-42.22495124377956
185,-32.99642097949982,-42.29238041988288
186,-60.720176845788956,-42.52473537369346
187,-42.06407628208399,-42.56605851567065
188,-68.5981613099575,-42.89489515759696
189,-46.06953862681985,-42.59392440800269
190,-42.28423798084259,-42.261801408759254
191,-68.35487742349505,-42.45351219081966
192,-25.155448228120804,-41.96342185789434
193,-25.299304232001305,-41.86658560711605
194,-60.35331726074219,-41.60263115301443
195,-39.162747614085674,-41.64988611109269
196,-33.825752675533295,-41.738379484114176
197,-48.607185676693916,-41.54193915160087
198,-44.165448158979416,-41.20889088811999
199,-51.13682875037193,-41.41152741382544
200,-74.35822897404432,-41.86886188937997
201,-64.67894201725721,-41.883780762745936
202,-59.50580698251724,-41.97744602878292
203,-61.97856917977333,-42.3694114368101
204,-33.2625133395195,-42.44390423995157
205,-24.410439617931843,-42.40342936162551
206,-41.88398689031601,-42.48699471954902
207,-22.897815842181444,-42.35551329826651
208,-24.9833125770092,-41.94348677819309
209,-30.56390929222107,-41.72609672577766
210,-110.7619015686214,-42.53795910885272
211,-21.563820213079453,-41.77401008679013
212,-38.039080483838916,-41.856540506672516
213,-17.385220363736153,-41.71511411633755
214,-26.91845343261957,-41.59280743923451
215,-25.788277057930827,-41.65742989013384
216,-22.341552060097456,-41.652785793304844
217,-16.67986023426056,-41.50099417794443
218,-79.73327064607292,-41.97241852064564
219,-30.68326872587204,-42.035052814231655
220,-26.917229533195496,-42.01280003932252
221,-81.80821996927261,-42.21999647059425
222,-39.6276044389233,-42.25925539221562
223,-19.964356876909733,-42.1372283331672
224,-20.746514830738306,-41.783457254934525
225,-61.518026646226645,-42.05360052784852
226,-42.16316284239292,-41.82813891084812
227,-19.16829628869891,-41.59858473805658
228,-34.475898027420044,-41.23590382387809
229,-24.778402633965015,-40.87699932349793
230,-25.22887136787176,-40.73609726620785
231,-21.326724480837584,-40.66064415554929
232,-12.137881070375443,-40.4773070587166
233,-34.11214176937938,-40.58118266935873
234,-55.21936059743166,-40.947928920001196
235,-21.04768293350935,-40.607181731224465
236,-21.06229443103075,-40.57949793314974
237,-75.3060963479802,-41.04546146233979
238,-45.65364947170019,-40.74233404876146
239,-32.48126608133316,-40.22356653714034
240,-30.941576540470123,-40.2492122298986
241,-30.187310740351677,-40.161641380837594
242,-49.46986096538603,-40.2616705068149
243,-47.77272041887045,-40.47741142861027
244,-37.10332566127181,-40.62170247856009
245,-26.479010477662086,-40.530548701020365
246,-53.60066261142492,-40.885807756888155
247,-50.23656463623047,-40.98693818009406
248,-34.96509673073888,-40.46876797745883
249,-34.43908120691776,-40.25001274789631
250,-40.14196376502514,-39.89944715860247
251,-36.242114290595055,-39.90761812041461
252,-29.94020502269268,-39.716717930016515
253,-47.49989202618599,-39.832604075548645
254,-51.795145235955715,-39.99335790143296
255,-135.79998678108677,-40.3637257148553
256,-53.43502005748451,-40.43353337075974
257,-35.675384379923344,-40.442931557786125
258,-58.27475659549236,-40.62992224443238
259,-13.394305123016238,-39.62195363116916
260,-25.04860447347164,-39.51739389617462
261,-27.04448050260544,-39.325490747136065
262,-23.28410503268242,-39.20580427948851
263,-35.80126518011093,-39.20566549648065
264,-35.15232336521149,-39.17954568110872
265,-76.38186704926193,-39.670854222937486
266,-28.018288671970367,-39.75258595304098
267,-68.78400857746601,-40.077200989141126
268,-100.1978408228606,-40.814544056584126
269,-104.11183864809573,-41.62158694213722
270,-29.41528668254614,-41.68632336510811
271,-37.03952568024397,-41.89300425386522
272,-24.318437810987234,-41.70993438346777
273,-36.74722405336797,-41.82699099626858
274,-89.75975160114467,-42.494529155832716
275,-51.63706151582301,-42.85047581917141
276,-49.2785043399781,-42.91982877735514
277,-38.97315528616309,-42.89712148260791
278,-71.90476997569203,-43.340770427105014
279,-35.734016589820385,-43.36245287146885
280,-28.95858533680439,-43.296861262884924
281,-24.183753192424774,-43.159634162378495
282,-17.357818827033043,-42.86686157342512
283,-24.12554932385683,-42.47782124948222
284,-68.62250759452581,-42.81229985584039
285,-100.7105070836842,-43.489440716882235
286,-28.95124927163124,-43.17175144114066
287,-31.35798242688179,-43.06469050258864
288,-45.432937771081924,-42.83303826719988
289,-21.671481043100357,-42.58905769136268
290,-25.84335605800152,-42.42464887213428
291,-35.50023954361677,-42.09610249333549
292,-46.95478343963623,-42.314095845450645
293,-17.30929157882929,-42.234195718918926
294,-32.749648816883564,-41.95815903448034
295,-26.53314945846796,-41.83186305292416
296,-17.26350339129567,-41.66624056008179
297,-32.943382039666176,-41.50960252371151
298,-55.526201628148556,-41.6232100584032
299,-32.315684109926224,-41.43499861199874
300,-49.753626208752394,-41.18895258434583
301,-29.6707348190248,-40.8388705123635
302,-33.56131698936224,-40.57942561243195
303,-92.84984171763062,-40.888138337810524
304,-28.962070547044277,-40.845133909885774
305,-33.37402440607548,-40.93476975776721
306,-38.045483753085136,-40.8963847263949
307,-29.781229257583618,-40.96521886054892
308,-25.010914927348495,-40.96549488405231
309,-33.18095326051116,-40.99166532373521
310,-33.656554808840156,-40.2206118561374
311,-73.39169091405347,-40.738890563147145
312,-93.24989124387503,-41.290998670747506
313,-29.084214352071285,-41.40798861063085
314,-23.72898207232356,-41.37609389702789
315,-32.050189673900604,-41.438713023187596
316,-41.68463110923767,-41.632143813678994
317,-62.639514952898026,-42.09174036086537
318,-67.69794255122542,-41.971387079916894
319,-23.508104145526886,-41.89963543411344
320,-27.085963986814022,-41.90132277864963
321,-61.326073192059994,-41.6965013108775
322,-13.633171238005161,-41.43655697886832
323,-19.81752923876047,-41.43508870248683
324,-23.57040397822857,-41.46332759396173
325,-27.852927930653095,-41.126676606805994
326,-36.41105415299535,-41.069155519912016
327,-35.72961667086929,-41.23476872373372
328,-78.32858737092465,-41.67329561716877
329,-94.19867576472461,-42.36749834847637
330,-119.65288647264242,-43.31173849952407
331,-61.403684336692095,-43.712508098082616
332,-41.428420931100845,-44.00541349668987
