checkpoint,steps,mean_reward,std_reward
sac_models_optimizers_position_500.pth,500,-79.43751563625366,106.90908047533803
sac_models_optimizers_position_1000.pth,1000,-6.219304140617768,3.1401531451122704
sac_models_optimizers_position_1500.pth,1500,-168.26264803332947,140.06908604591757
sac_models_optimizers_position_2000.pth,2000,-32.70009112910916,38.45697480842563
sac_models_optimizers_position_2500.pth,2500,-8.44476897747317,6.26210796024696
sac_models_optimizers_position_3000.pth,3000,-12.472618063595522,13.612746529449213
sac_models_optimizers_position_3500.pth,3500,-27.94646191490745,43.04543515960977
sac_models_optimizers_position_4000.pth,4000,-105.92994020587459,153.82076473969317
sac_models_optimizers_position_4500.pth,4500,-43.20413350682603,60.01611747428316
sac_models_optimizers_position_5000.pth,5000,-63.831992879549674,79.18931031291534
sac_models_optimizers_position_5500.pth,5500,-56.16944871849132,57.4154880740041
sac_models_optimizers_position_6000.pth,6000,-23.181420824682686,28.103470549733164
sac_models_optimizers_position_6500.pth,6500,-13.178746166849542,17.84970089410071
sac_models_optimizers_position_7000.pth,7000,-15.58908140206331,22.318337311813696
sac_models_optimizers_position_7500.pth,7500,-11.778943230426474,18.15848221475499
sac_models_optimizers_position_8000.pth,8000,-27.621827421853016,25.457992999124528
sac_models_optimizers_position_8500.pth,8500,-22.475247994505576,27.14259987383969
sac_models_optimizers_position_9000.pth,9000,-35.26228113479483,35.689608852013734
sac_models_optimizers_position_9500.pth,9500,-22.712629023550964,27.80062855321826
sac_models_optimizers_position_10000.pth,10000,-15.59711961038395,24.467203711754145
sac_models_optimizers_position_10500.pth,10500,-47.10041684222317,81.51762085116503
sac_models_optimizers_position_11000.pth,11000,-16.727299792350365,19.683382017991892
sac_models_optimizers_position_11500.pth,11500,-60.642126505490175,72.95680382901706
sac_models_optimizers_position_12000.pth,12000,-14.97436622292889,21.591529584788105
sac_models_optimizers_position_12500.pth,12500,-29.588373422578506,45.09722363617925
sac_models_optimizers_position_13000.pth,13000,-33.800738333029365,54.34924187567549
sac_models_optimizers_position_13500.pth,13500,-19.57844057949268,24.984664789484132
sac_models_optimizers_position_14000.pth,14000,-9.484476001666986,5.266367990374075
sac_models_optimizers_position_14500.pth,14500,-9.518682828973818,15.470739279986669
sac_models_optimizers_position_15000.pth,15000,-15.798938742369403,23.654957118085388
sac_models_optimizers_position_15500.pth,15500,-15.61674327686181,21.93045492926241
sac_models_optimizers_position_16000.pth,16000,-20.62783669174188,25.713802616919704
sac_models_optimizers_position_16500.pth,16500,-46.28143510030644,63.82288806826767
sac_models_optimizers_position_17000.pth,17000,-44.20421851924726,70.13506510960877
sac_models_optimizers_position_17500.pth,17500,-93.45180776924194,108.63682439065411
sac_models_optimizers_position_18000.pth,18000,-15.328706561104575,19.066379247210357
sac_models_optimizers_position_18500.pth,18500,-43.10645658720883,67.03081790720137
sac_models_optimizers_position_19000.pth,19000,-14.475258475367365,18.747240175230907
sac_models_optimizers_position_19500.pth,19500,-19.22358607975378,16.195292070811767
sac_models_optimizers_position_20000.pth,20000,-13.095048396962053,10.818764621897135
sac_models_optimizers_position_20500.pth,20500,-11.780322370214858,7.3311986126742275
sac_models_optimizers_position_21000.pth,21000,-27.730626404655496,47.09358603603965
sac_models_optimizers_position_21500.pth,21500,-22.822589952342167,23.00251423256323
sac_models_optimizers_position_22000.pth,22000,-14.399836494988511,15.595816964699317
sac_models_optimizers_position_22500.pth,22500,-17.97646888305968,20.086651904236916
sac_models_optimizers_position_23000.pth,23000,-18.62353652632643,21.045437820643897
sac_models_optimizers_position_23500.pth,23500,-20.24947771015074,20.446181467076116
sac_models_optimizers_position_24000.pth,24000,-10.57948263871814,9.097353925697785
sac_models_optimizers_position_24500.pth,24500,-55.03577812150414,57.549326599039695
sac_models_optimizers_position_25000.pth,25000,-57.06713274072018,74.00429757088904
