checkpoint,steps,mean_reward,std_reward,success_rate
sac_models_optimizers_position_10000.pth,10000,-26.929656058882276,34.59269919985773,0.023
sac_models_optimizers_position_20000.pth,20000,-12.4302723615782,12.563708046760457,0.019
sac_models_optimizers_position_30000.pth,30000,-53.071595797269694,62.27872216670233,0.02
sac_models_optimizers_position_40000.pth,40000,-36.5837277022638,52.11286488587501,0.022
sac_models_optimizers_position_50000.pth,50000,-17.567777134985445,19.556160924552888,0.017
sac_models_optimizers_position_60000.pth,60000,-11.14567630243169,9.697657115404716,0.016
sac_models_optimizers_position_70000.pth,70000,-50.575544978642654,63.85444393281256,0.023
sac_models_optimizers_position_80000.pth,80000,-20.022682398256823,25.439630209591833,0.013
sac_models_optimizers_position_90000.pth,90000,-24.73988092482309,32.892769080705555,0.019
sac_models_optimizers_position_100000.pth,100000,-13.628494822809833,12.659970480690541,0.009
